Dia,TELEVISA,CEMEX,Dow Jones Mexico,BIMBO
168,10.96,12.9,3661.05,70.08
169,11.28,13,3679.13,69.9
170,11.07,12.91,3677.08,70.01
171,11.11,13.05,3712.18,71.28
172,11.14,13.18,3746.05,70.66
173,11.07,13.24,3766.86,69.8
174,11.15,13.36,3808.5,70.41
175,11.11,13.29,3822.51,69.95
176,11.14,13.23,3813.07,72.59
177,10.97,13.11,3812.03,70.95
178,11.12,13.19,3796.36,71.14
179,11.04,13.4,3829.65,69.77
180,10.82,13.63,3828.46,70.07
181,10.26,13.31,3835.15,72.5
182,10.13,13.57,3779.58,71.78
183,10.78,13.82,3779.51,70.53
184,10.77,14.14,3792.03,68.92
185,10.14,14.1,3781.9,70.5
186,9.94,13.79,3750.14,69.54
187,10.11,14.04,3754.27,69.29
188,9.86,14.04,3753.74,70.99
189,9.54,13.68,3828,69.08
190,9.73,13.75,3828.8,66.93
191,9.82,13.92,3783.44,66.16
192,10.33,14.34,3744.25,67.8
193,10.66,14.02,3755.03,66.76
194,10.83,14.22,3756.24,68.62
195,11.06,14.35,3712.97,69.26
196,10.91,14.15,3701.41,69.08
197,10.9,14.38,3681.3,70.53
198,10.99,14.54,3703.14,72.27
199,10.85,14.56,3716.68,73.43
200,10.81,14.76,3756.01,71.86
201,10.91,15.15,3770.37,73.86
202,10.37,14.99,3760.59,76.6
203,10.38,15.04,3823.07,77.28
204,10.38,14.67,3847.3,78.47
205,10.35,14.66,3849.83,79.21
206,10.25,14.45,3837.28,77.64
207,10.02,14.4,3811,73.98
208,9.85,14.23,3816.87,76.1
209,9.94,14.08,3823.59,77.45
210,9.69,13.94,3805.15,73.82
211,9.54,14.19,3805.15,71.71
212,9.68,14.04,3805.18,71.62
213,9.83,13.55,3794.41,70.89
214,9.72,13.53,3756.29,71.92
215,9.98,13.63,3765.12,71.99
216,9.94,13.32,3768.98,71.86
217,9.94,13.38,3768.64,71.93
218,9.99,13.27,3697.12,72.05
219,10.06,13.1,3740.61,72.51
220,10.07,13.23,3740.27,71.95
221,10.15,13.4,3730,71.68
222,10.19,13.03,3721.25,71.3
223,10.12,13.2,3660.59,72.7
224,10.74,13.66,3670.53,73.47
225,10.85,13.89,3661.66,72.49
226,10.94,13.99,3668.52,73.63
227,10.94,13.7,3684.55,72.98
228,11.41,13.53,3697.95,74.81
229,11.17,13.44,3699.76,76.35
230,10.86,13.49,3706.82,79.09
231,10.86,13.42,3699.98,77.77
232,9.87,13.19,3692.03,78.5
233,9.79,13.02,3752.54,77.54
234,9.8,13.13,3754.79,78.15
235,9.94,13.31,3782.44,78.96
236,9.71,13.13,3813.47,78.34
237,9.87,13.63,3804.86,79.47
238,10.34,14.86,3813.71,79.31
239,10.24,14.78,3829.65,81.6
240,10.14,14.71,3803.49,77.9
241,10,14.42,3810.03,78.53
242,9.86,14.3,3811.4,78.52
243,10.28,14.38,3787.62,77.83
244,10.43,14.29,3819.53,79.33
